文件ID,文件名称,文件状态,创建时间,视频时长,视频大小,最近更新,类别,标签,视频地址（原始）,视频地址（原始带水印）,视频地址（手机MP4）,视频地址（标清MP4）,视频地址（高清MP4）,视频地址（超清MP4）,视频地址（手机FLV）,视频地址（标清FLV）,视频地址（高清FLV）,视频地址（手机HLS）,视频地址（标清HLS）,视频地址（高清HLS）,视频地址（超清HLS）,视频含播放器发布HTML,视频含播放器FLASH代码,视频含播放器IFRAME代码,分享（原始）,分享（原始带水印）,分享（手机MP4）,分享（标清MP4）,分享（高清MP4）,分享（超清MP4）,分享（手机FLV）,分享（标清FLV）,分享（高清FLV）,分享（手机HLS）,分享（标清HLS）,分享（高清HLS）,分享（超清HLS）
"	5285890792069053890",VID_20180221_112029_640,正常,"2019-07-28 09:22:39",20,"	1468597","2019-07-28 09:22:40",其他,,http://1252064124.vod2.myqcloud.com/46ce88bdvodcq1252064124/07459a345285890792069053890/f0.mp4,,,,,,,,,,,,,"<div id=""id_video_container_5285890792069053890"" style=""width:100%;height:640px;""></div><script src=""https://imgcache.qq.com/open/qcloud/video/h5/h5connect.js"" charset=""utf-8""></script><script type=""text/javascript"">(function(){var option ={""auto_play"":""0"",""file_id"":""5285890792069053890"",""app_id"":1252064124,""width"":360,""height"":640};/*调用播放器进行播放*/new qcVideo.Player(/*代码中的id_video_container将会作为播放器放置的容器使用,可自行替换*/""id_video_container_5285890792069053890"",option);})()</script>",https://imgcache.qq.com/open/qcloud/video/flash/video_player.swf?swfv=beta1&auto_play=0&file_id=5285890792069053890&app_id=1252064124&version=1,"<iframe src=""https://playvideo.qcloud.com/vod/5285890792069053890/iplayer.html?appid=1252064124&fileid=5285890792069053890&autoplay=0&sw=360&sh=640"" frameborder=""0"" width=""100%"" height=""640"" scrolling=""no""></iframe><!-- 页面内多处使用iframe代码，后面的JS代码只需要使用一次(作用是调整iframe的高度) --><script src=""//imgcache.qq.com/open/qcloud/video/h5/fixifmheight.js"" charset=""utf-8""></script>",,,,,,,,,,,,,
"	5285890792069025501",VID_20180224_110622_640,正常,"2019-07-28 09:22:46",59,"	4322080","2019-07-28 09:22:48",其他,,http://1252064124.vod2.myqcloud.com/46ce88bdvodcq1252064124/07105b885285890792069025501/f0.mp4,,,,,,,,,,,,,"<div id=""id_video_container_5285890792069025501"" style=""width:100%;height:640px;""></div><script src=""https://imgcache.qq.com/open/qcloud/video/h5/h5connect.js"" charset=""utf-8""></script><script type=""text/javascript"">(function(){var option ={""auto_play"":""0"",""file_id"":""5285890792069025501"",""app_id"":1252064124,""width"":360,""height"":640};/*调用播放器进行播放*/new qcVideo.Player(/*代码中的id_video_container将会作为播放器放置的容器使用,可自行替换*/""id_video_container_5285890792069025501"",option);})()</script>",https://imgcache.qq.com/open/qcloud/video/flash/video_player.swf?swfv=beta1&auto_play=0&file_id=5285890792069025501&app_id=1252064124&version=1,"<iframe src=""https://playvideo.qcloud.com/vod/5285890792069025501/iplayer.html?appid=1252064124&fileid=5285890792069025501&autoplay=0&sw=360&sh=640"" frameborder=""0"" width=""100%"" height=""640"" scrolling=""no""></iframe><!-- 页面内多处使用iframe代码，后面的JS代码只需要使用一次(作用是调整iframe的高度) --><script src=""//imgcache.qq.com/open/qcloud/video/h5/fixifmheight.js"" charset=""utf-8""></script>",,,,,,,,,,,,,
"	5285890792069061038",VID_20180225_095740_640,正常,"2019-07-28 09:22:52",32,"	2295466","2019-07-28 09:22:53",其他,,http://1252064124.vod2.myqcloud.com/46ce88bdvodcq1252064124/0756772d5285890792069061038/f0.mp4,,,,,,,,,,,,,"<div id=""id_video_container_5285890792069061038"" style=""width:100%;height:640px;""></div><script src=""https://imgcache.qq.com/open/qcloud/video/h5/h5connect.js"" charset=""utf-8""></script><script type=""text/javascript"">(function(){var option ={""auto_play"":""0"",""file_id"":""5285890792069061038"",""app_id"":1252064124,""width"":360,""height"":640};/*调用播放器进行播放*/new qcVideo.Player(/*代码中的id_video_container将会作为播放器放置的容器使用,可自行替换*/""id_video_container_5285890792069061038"",option);})()</script>",https://imgcache.qq.com/open/qcloud/video/flash/video_player.swf?swfv=beta1&auto_play=0&file_id=5285890792069061038&app_id=1252064124&version=1,"<iframe src=""https://playvideo.qcloud.com/vod/5285890792069061038/iplayer.html?appid=1252064124&fileid=5285890792069061038&autoplay=0&sw=360&sh=640"" frameborder=""0"" width=""100%"" height=""640"" scrolling=""no""></iframe><!-- 页面内多处使用iframe代码，后面的JS代码只需要使用一次(作用是调整iframe的高度) --><script src=""//imgcache.qq.com/open/qcloud/video/h5/fixifmheight.js"" charset=""utf-8""></script>",,,,,,,,,,,,,
"	5285890792069054763",VID_20180225_155324_640,正常,"2019-07-28 09:22:55",13,"	961324","2019-07-28 09:22:57",其他,,http://1252064124.vod2.myqcloud.com/46ce88bdvodcq1252064124/074621f45285890792069054763/f0.mp4,,,,,,,,,,,,,"<div id=""id_video_container_5285890792069054763"" style=""width:100%;height:640px;""></div><script src=""https://imgcache.qq.com/open/qcloud/video/h5/h5connect.js"" charset=""utf-8""></script><script type=""text/javascript"">(function(){var option ={""auto_play"":""0"",""file_id"":""5285890792069054763"",""app_id"":1252064124,""width"":360,""height"":640};/*调用播放器进行播放*/new qcVideo.Player(/*代码中的id_video_container将会作为播放器放置的容器使用,可自行替换*/""id_video_container_5285890792069054763"",option);})()</script>",https://imgcache.qq.com/open/qcloud/video/flash/video_player.swf?swfv=beta1&auto_play=0&file_id=5285890792069054763&app_id=1252064124&version=1,"<iframe src=""https://playvideo.qcloud.com/vod/5285890792069054763/iplayer.html?appid=1252064124&fileid=5285890792069054763&autoplay=0&sw=360&sh=640"" frameborder=""0"" width=""100%"" height=""640"" scrolling=""no""></iframe><!-- 页面内多处使用iframe代码，后面的JS代码只需要使用一次(作用是调整iframe的高度) --><script src=""//imgcache.qq.com/open/qcloud/video/h5/fixifmheight.js"" charset=""utf-8""></script>",,,,,,,,,,,,,
"	5285890792069061450",VID_20180225_160039_640,正常,"2019-07-28 09:23:04",61,"	4514592","2019-07-28 09:23:06",其他,,http://1252064124.vod2.myqcloud.com/46ce88bdvodcq1252064124/0756886b5285890792069061450/f0.mp4,,,,,,,,,,,,,"<div id=""id_video_container_5285890792069061450"" style=""width:100%;height:640px;""></div><script src=""https://imgcache.qq.com/open/qcloud/video/h5/h5connect.js"" charset=""utf-8""></script><script type=""text/javascript"">(function(){var option ={""auto_play"":""0"",""file_id"":""5285890792069061450"",""app_id"":1252064124,""width"":360,""height"":640};/*调用播放器进行播放*/new qcVideo.Player(/*代码中的id_video_container将会作为播放器放置的容器使用,可自行替换*/""id_video_container_5285890792069061450"",option);})()</script>",https://imgcache.qq.com/open/qcloud/video/flash/video_player.swf?swfv=beta1&auto_play=0&file_id=5285890792069061450&app_id=1252064124&version=1,"<iframe src=""https://playvideo.qcloud.com/vod/5285890792069061450/iplayer.html?appid=1252064124&fileid=5285890792069061450&autoplay=0&sw=360&sh=640"" frameborder=""0"" width=""100%"" height=""640"" scrolling=""no""></iframe><!-- 页面内多处使用iframe代码，后面的JS代码只需要使用一次(作用是调整iframe的高度) --><script src=""//imgcache.qq.com/open/qcloud/video/h5/fixifmheight.js"" charset=""utf-8""></script>",,,,,,,,,,,,,
"	5285890792069061936",VID_20180706_193723_640,正常,"2019-07-28 09:23:07",11,"	841768","2019-07-28 09:23:09",其他,,http://1252064124.vod2.myqcloud.com/46ce88bdvodcq1252064124/07569d745285890792069061936/f0.mp4,,,,,,,,,,,,,"<div id=""id_video_container_5285890792069061936"" style=""width:100%;height:640px;""></div><script src=""https://imgcache.qq.com/open/qcloud/video/h5/h5connect.js"" charset=""utf-8""></script><script type=""text/javascript"">(function(){var option ={""auto_play"":""0"",""file_id"":""5285890792069061936"",""app_id"":1252064124,""width"":360,""height"":640};/*调用播放器进行播放*/new qcVideo.Player(/*代码中的id_video_container将会作为播放器放置的容器使用,可自行替换*/""id_video_container_5285890792069061936"",option);})()</script>",https://imgcache.qq.com/open/qcloud/video/flash/video_player.swf?swfv=beta1&auto_play=0&file_id=5285890792069061936&app_id=1252064124&version=1,"<iframe src=""https://playvideo.qcloud.com/vod/5285890792069061936/iplayer.html?appid=1252064124&fileid=5285890792069061936&autoplay=0&sw=360&sh=640"" frameborder=""0"" width=""100%"" height=""640"" scrolling=""no""></iframe><!-- 页面内多处使用iframe代码，后面的JS代码只需要使用一次(作用是调整iframe的高度) --><script src=""//imgcache.qq.com/open/qcloud/video/h5/fixifmheight.js"" charset=""utf-8""></script>",,,,,,,,,,,,,
"	5285890792069055486",VID_20180706_202619_640,正常,"2019-07-28 09:23:15",51,"	3795485","2019-07-28 09:23:17",其他,,http://1252064124.vod2.myqcloud.com/46ce88bdvodcq1252064124/0746a1d75285890792069055486/f0.mp4,,,,,,,,,,,,,"<div id=""id_video_container_5285890792069055486"" style=""width:100%;height:640px;""></div><script src=""https://imgcache.qq.com/open/qcloud/video/h5/h5connect.js"" charset=""utf-8""></script><script type=""text/javascript"">(function(){var option ={""auto_play"":""0"",""file_id"":""5285890792069055486"",""app_id"":1252064124,""width"":360,""height"":640};/*调用播放器进行播放*/new qcVideo.Player(/*代码中的id_video_container将会作为播放器放置的容器使用,可自行替换*/""id_video_container_5285890792069055486"",option);})()</script>",https://imgcache.qq.com/open/qcloud/video/flash/video_player.swf?swfv=beta1&auto_play=0&file_id=5285890792069055486&app_id=1252064124&version=1,"<iframe src=""https://playvideo.qcloud.com/vod/5285890792069055486/iplayer.html?appid=1252064124&fileid=5285890792069055486&autoplay=0&sw=360&sh=640"" frameborder=""0"" width=""100%"" height=""640"" scrolling=""no""></iframe><!-- 页面内多处使用iframe代码，后面的JS代码只需要使用一次(作用是调整iframe的高度) --><script src=""//imgcache.qq.com/open/qcloud/video/h5/fixifmheight.js"" charset=""utf-8""></script>",,,,,,,,,,,,,
"	5285890792069027241",VID_20180706_203228_640,正常,"2019-07-28 09:23:19",21,"	1528144","2019-07-28 09:23:21",其他,,http://1252064124.vod2.myqcloud.com/46ce88bdvodcq1252064124/0711680b5285890792069027241/f0.mp4,,,,,,,,,,,,,"<div id=""id_video_container_5285890792069027241"" style=""width:100%;height:640px;""></div><script src=""https://imgcache.qq.com/open/qcloud/video/h5/h5connect.js"" charset=""utf-8""></script><script type=""text/javascript"">(function(){var option ={""auto_play"":""0"",""file_id"":""5285890792069027241"",""app_id"":1252064124,""width"":360,""height"":640};/*调用播放器进行播放*/new qcVideo.Player(/*代码中的id_video_container将会作为播放器放置的容器使用,可自行替换*/""id_video_container_5285890792069027241"",option);})()</script>",https://imgcache.qq.com/open/qcloud/video/flash/video_player.swf?swfv=beta1&auto_play=0&file_id=5285890792069027241&app_id=1252064124&version=1,"<iframe src=""https://playvideo.qcloud.com/vod/5285890792069027241/iplayer.html?appid=1252064124&fileid=5285890792069027241&autoplay=0&sw=360&sh=640"" frameborder=""0"" width=""100%"" height=""640"" scrolling=""no""></iframe><!-- 页面内多处使用iframe代码，后面的JS代码只需要使用一次(作用是调整iframe的高度) --><script src=""//imgcache.qq.com/open/qcloud/video/h5/fixifmheight.js"" charset=""utf-8""></script>",,,,,,,,,,,,,
"	5285890792069056037",VID_20180706_203311_640,正常,"2019-07-28 09:23:27",54,"	3821047","2019-07-28 09:23:29",其他,,http://1252064124.vod2.myqcloud.com/46ce88bdvodcq1252064124/07471c905285890792069056037/f0.mp4,,,,,,,,,,,,,"<div id=""id_video_container_5285890792069056037"" style=""width:100%;height:640px;""></div><script src=""https://imgcache.qq.com/open/qcloud/video/h5/h5connect.js"" charset=""utf-8""></script><script type=""text/javascript"">(function(){var option ={""auto_play"":""0"",""file_id"":""5285890792069056037"",""app_id"":1252064124,""width"":360,""height"":640};/*调用播放器进行播放*/new qcVideo.Player(/*代码中的id_video_container将会作为播放器放置的容器使用,可自行替换*/""id_video_container_5285890792069056037"",option);})()</script>",https://imgcache.qq.com/open/qcloud/video/flash/video_player.swf?swfv=beta1&auto_play=0&file_id=5285890792069056037&app_id=1252064124&version=1,"<iframe src=""https://playvideo.qcloud.com/vod/5285890792069056037/iplayer.html?appid=1252064124&fileid=5285890792069056037&autoplay=0&sw=360&sh=640"" frameborder=""0"" width=""100%"" height=""640"" scrolling=""no""></iframe><!-- 页面内多处使用iframe代码，后面的JS代码只需要使用一次(作用是调整iframe的高度) --><script src=""//imgcache.qq.com/open/qcloud/video/h5/fixifmheight.js"" charset=""utf-8""></script>",,,,,,,,,,,,,
"	5285890792069062965",VID_20180706_212908_640,正常,"2019-07-28 09:23:31",19,"	1317149","2019-07-28 09:23:32",其他,,http://1252064124.vod2.myqcloud.com/46ce88bdvodcq1252064124/07572a375285890792069062965/f0.mp4,,,,,,,,,,,,,"<div id=""id_video_container_5285890792069062965"" style=""width:100%;height:640px;""></div><script src=""https://imgcache.qq.com/open/qcloud/video/h5/h5connect.js"" charset=""utf-8""></script><script type=""text/javascript"">(function(){var option ={""auto_play"":""0"",""file_id"":""5285890792069062965"",""app_id"":1252064124,""width"":360,""height"":640};/*调用播放器进行播放*/new qcVideo.Player(/*代码中的id_video_container将会作为播放器放置的容器使用,可自行替换*/""id_video_container_5285890792069062965"",option);})()</script>",https://imgcache.qq.com/open/qcloud/video/flash/video_player.swf?swfv=beta1&auto_play=0&file_id=5285890792069062965&app_id=1252064124&version=1,"<iframe src=""https://playvideo.qcloud.com/vod/5285890792069062965/iplayer.html?appid=1252064124&fileid=5285890792069062965&autoplay=0&sw=360&sh=640"" frameborder=""0"" width=""100%"" height=""640"" scrolling=""no""></iframe><!-- 页面内多处使用iframe代码，后面的JS代码只需要使用一次(作用是调整iframe的高度) --><script src=""//imgcache.qq.com/open/qcloud/video/h5/fixifmheight.js"" charset=""utf-8""></script>",,,,,,,,,,,,,
